t11,t12,t13,t21,t22,t23,t31,t32,t33,t41,t42,t43,t51,t52,t53,noTicks
0,0,0,0,0,67,48,72,64,0,0,0,0,0,0,6
0,0,0,0,0,0,48,72,64,0,0,0,0,0,0,35
67,0,0,0,0,0,48,72,64,0,0,0,0,0,0,37
0,0,0,0,0,0,48,72,64,0,0,0,0,0,0,35
0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
0,0,0,65,60,69,53,0,0,36,0,0,81,0,0,97
0,0,0,65,60,69,53,0,0,36,0,0,0,0,0,23
69,0,0,65,60,69,53,0,0,36,0,0,0,0,0,24
0,0,0,65,60,69,53,0,0,36,0,0,0,0,0,36
69,0,0,65,60,69,53,0,0,36,0,0,0,0,0,29
0,0,0,65,60,69,53,0,0,36,0,0,0,0,0,16
0,0,0,65,60,69,53,0,0,0,0,0,0,0,0,15
0,0,0,65,60,69,53,65,69,40,0,0,0,0,0,60
69,0,0,65,60,69,53,65,69,40,0,0,0,0,0,11
69,0,0,65,60,69,53,0,0,40,0,0,0,0,0,21
69,0,0,65,60,69,53,0,0,0,0,0,0,0,0,2
0,0,0,65,60,69,53,0,0,0,0,0,0,0,0,26
69,0,0,65,60,69,53,67,70,0,0,0,0,0,0,29
0,0,0,65,60,69,53,67,70,0,0,0,0,0,0,40
0,0,0,65,60,69,53,0,0,0,0,0,0,0,0,51
69,0,0,65,60,69,53,68,71,40,0,0,0,0,0,27
0,0,0,65,60,69,53,68,71,40,0,0,0,0,0,27
0,0,0,65,60,69,0,68,71,40,0,0,0,0,0,6
69,0,0,65,60,69,0,68,71,40,0,0,0,0,0,5
69,0,0,65,60,69,0,0,0,40,0,0,0,0,0,1
69,0,0,65,60,69,0,0,0,0,0,0,0,0,0,29
0,0,0,65,60,69,0,0,0,0,0,0,0,0,0,25
69,0,0,65,60,69,74,70,0,0,0,0,0,0,0,33
0,0,0,65,60,69,74,70,0,0,0,0,0,0,0,30
0,0,0,65,60,69,0,0,0,0,0,0,0,0,0,57
69,0,0,65,60,69,48,72,69,40,36,0,81,0,0,7
0,0,0,65,60,69,48,72,69,40,36,0,81,0,0,44
0,0,0,65,60,69,48,0,0,40,36,0,81,0,0,9
69,0,0,65,60,69,48,74,70,40,36,0,81,0,0,32
69,0,0,65,60,69,48,74,70,40,36,0,0,0,0,8
0,0,0,65,60,69,48,74,70,40,36,0,0,0,0,13
0,0,0,65,60,69,0,74,70,40,36,0,0,0,0,7
0,0,0,65,60,69,72,74,70,40,36,0,0,0,0,14
0,0,0,65,60,69,72,0,0,40,36,0,0,0,0,41
0,0,0,65,60,69,0,0,0,40,36,0,0,0,0,5
69,0,0,65,60,69,74,70,0,40,36,0,0,0,0,45
69,0,0,65,60,69,74,70,0,40,0,0,0,0,0,5
0,0,0,65,60,69,0,0,0,40,0,0,0,0,0,10
0,0,0,65,60,69,72,50,69,40,0,0,0,0,0,45
0,0,0,0,60,69,72,50,69,40,0,0,0,0,0,2
0,0,0,0,0,69,72,50,69,40,0,0,0,0,0,11
0,0,0,0,0,0,72,50,69,40,0,0,0,0,0,55
0,0,0,0,0,0,72,0,69,40,0,0,0,0,0,110
0,0,0,0,0,0,72,0,69,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,2
0,0,0,0,0,0,52,0,0,40,0,0,0,0,0,113
0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,67
69,0,0,0,0,0,0,0,0,40,0,0,0,0,0,43
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
72,0,0,72,69,0,53,0,0,36,0,0,81,0,0,34
72,0,0,72,0,0,53,0,0,36,0,0,81,0,0,13
72,0,0,0,0,0,53,0,0,36,0,0,81,0,0,16
72,0,0,0,0,0,53,0,0,36,0,0,0,0,0,13
0,0,0,0,0,0,53,0,0,36,0,0,0,0,0,149
0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,15
0,0,0,0,0,0,53,65,60,40,0,0,0,0,0,92
0,0,0,0,0,0,53,65,60,0,0,0,0,0,0,80
0,0,0,0,0,0,0,65,60,0,0,0,0,0,0,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
72,0,0,72,69,0,65,60,69,40,0,0,0,0,0,28
72,0,0,72,0,0,65,60,69,40,0,0,0,0,0,7
72,0,0,0,0,0,65,60,69,40,0,0,0,0,0,31
72,0,0,0,0,0,65,60,69,0,0,0,0,0,0,16
0,0,0,0,0,0,65,60,69,0,0,0,0,0,0,38
0,0,0,72,69,0,65,60,69,0,0,0,0,0,0,30
0,0,0,72,0,0,65,60,69,0,0,0,0,0,0,21
0,0,0,0,0,0,65,60,69,0,0,0,0,0,0,21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
0,0,0,72,69,0,48,0,0,36,0,0,81,0,0,60
72,0,0,72,69,0,48,0,0,36,0,0,81,0,0,5
72,0,0,72,0,0,48,0,0,36,0,0,81,0,0,12
72,0,0,0,0,0,48,0,0,36,0,0,81,0,0,8
72,0,0,0,0,0,48,0,0,36,0,0,0,0,0,86
0,0,0,0,0,0,48,0,0,36,0,0,0,0,0,54
0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,15
0,0,0,68,71,0,48,64,59,40,0,0,0,0,0,60
71,0,0,68,71,0,48,64,59,40,0,0,0,0,0,38
71,0,0,68,0,0,48,64,59,40,0,0,0,0,0,12
71,0,0,0,0,0,48,64,59,40,0,0,0,0,0,3
71,0,0,0,0,0,48,64,59,0,0,0,0,0,0,7
71,0,0,0,0,0,48,64,59,40,0,0,0,0,0,72
71,0,0,0,0,0,48,0,0,40,0,0,0,0,0,11
0,0,0,0,0,0,48,0,0,40,0,0,0,0,0,30
0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,7
0,0,0,0,0,0,48,65,60,40,0,0,0,0,0,8
0,0,0,0,0,0,0,65,60,40,0,0,0,0,0,52
