t11,t12,t13,t21,t22,t23,t31,t32,t33,t41,t42,t43,t51,t52,t53,noTicks
74,69,0,0,0,0,0,0,0,0,0,0,0,0,0,27
0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115
74,67,0,0,0,0,65,74,70,40,0,0,0,0,0,66
74,67,0,0,0,0,65,74,70,0,0,0,0,0,0,37
0,67,0,0,0,0,65,74,70,0,0,0,0,0,0,15
0,0,0,0,0,0,65,74,70,0,0,0,0,0,0,2
0,0,0,67,70,0,65,74,70,0,0,0,0,0,0,33
0,0,0,0,70,0,65,74,70,0,0,0,0,0,0,13
0,0,0,0,0,0,65,74,70,0,0,0,0,0,0,36
0,0,0,0,0,0,65,74,0,0,0,0,0,0,0,4
0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
73,70,0,73,70,0,46,0,0,36,0,0,81,0,0,7
73,0,0,73,70,0,46,0,0,36,0,0,81,0,0,7
0,0,0,73,70,0,46,0,0,36,0,0,81,0,0,46
73,70,0,73,70,0,46,0,0,36,0,0,81,0,0,19
0,70,0,73,70,0,46,0,0,36,0,0,81,0,0,4
0,70,0,73,70,0,46,0,0,36,0,0,0,0,0,1
0,0,0,73,70,0,46,0,0,36,0,0,0,0,0,36
73,70,0,73,70,0,46,0,0,36,0,0,0,0,0,23
0,70,0,73,70,0,46,0,0,36,0,0,0,0,0,8
0,0,0,73,70,0,46,0,0,36,0,0,0,0,0,74
0,0,0,73,70,0,46,0,0,0,0,0,0,0,0,15
73,70,0,73,70,0,46,73,65,40,0,0,0,0,0,41
73,70,0,73,70,0,46,73,0,40,0,0,0,0,0,1
0,70,0,73,70,0,46,73,0,40,0,0,0,0,0,2
0,70,0,73,70,0,46,0,0,40,0,0,0,0,0,6
0,0,0,73,70,0,46,0,0,40,0,0,0,0,0,20
0,0,0,0,70,0,46,0,0,40,0,0,0,0,0,10
0,0,0,0,0,0,46,0,0,40,0,0,0,0,0,33
0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,7
0,0,0,0,0,0,46,65,73,40,0,0,0,0,0,37
0,0,0,0,0,0,46,0,73,40,0,0,0,0,0,13
0,0,0,0,0,0,46,0,0,40,0,0,0,0,0,63
0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,7
70,0,0,72,69,0,46,73,65,40,0,0,0,0,0,57
70,0,0,72,0,0,46,73,65,40,0,0,0,0,0,4
0,0,0,72,0,0,46,73,65,40,0,0,0,0,0,1
0,0,0,0,0,0,46,73,65,40,0,0,0,0,0,2
0,0,0,0,0,0,46,73,65,0,0,0,0,0,0,7
0,0,0,0,0,0,46,73,0,0,0,0,0,0,0,5
0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,44
0,0,0,73,70,0,46,0,0,0,0,0,0,0,0,49
0,0,0,73,0,0,46,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
72,69,0,72,77,0,48,0,0,36,0,0,81,0,0,2
72,0,0,72,77,0,48,0,0,36,0,0,81,0,0,23
0,0,0,72,77,0,48,0,0,36,0,0,81,0,0,35
72,69,0,72,77,0,48,0,0,36,0,0,81,0,0,9
72,69,0,0,77,0,48,0,0,36,0,0,81,0,0,2
72,69,0,0,0,0,48,0,0,36,0,0,81,0,0,13
72,0,0,0,0,0,48,0,0,36,0,0,0,0,0,12
0,0,0,0,0,0,48,0,0,36,0,0,0,0,0,24
72,69,0,0,0,0,48,0,0,36,0,0,0,0,0,38
0,69,0,0,0,0,48,0,0,36,0,0,0,0,0,2
0,0,0,0,0,0,48,0,0,36,0,0,0,0,0,65
0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,15
67,70,0,72,69,0,48,72,65,40,0,0,0,0,0,49
0,70,0,72,69,0,48,72,65,40,0,0,0,0,0,3
0,70,0,72,69,0,48,72,0,40,0,0,0,0,0,1
0,0,0,72,69,0,48,72,0,40,0,0,0,0,0,4
0,0,0,72,69,0,48,0,0,40,0,0,0,0,0,35
0,0,0,72,69,0,48,0,0,0,0,0,0,0,0,112
0,0,0,0,69,0,48,0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,24
65,69,0,0,0,0,48,72,65,40,0,0,0,0,0,38
0,69,0,0,0,0,48,72,65,40,0,0,0,0,0,11
0,0,0,0,0,0,48,72,65,40,0,0,0,0,0,10
0,0,0,0,0,0,48,72,0,40,0,0,0,0,0,7
0,0,0,0,0,0,48,72,0,0,0,0,0,0,0,3
0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,51
0,0,0,72,69,0,48,0,0,0,0,0,0,0,0,27
0,0,0,72,69,0,0,0,0,0,0,0,0,0,0,15
0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
72,69,0,72,77,0,57,0,0,40,36,0,81,0,0,1
72,0,0,72,77,0,57,0,0,40,36,0,81,0,0,22
0,0,0,72,77,0,57,0,0,40,36,0,81,0,0,37
72,69,0,72,77,0,57,0,0,40,36,0,81,0,0,21
72,0,0,72,77,0,57,0,0,40,36,0,81,0,0,2
0,0,0,72,77,0,57,0,0,40,36,0,81,0,0,2
0,0,0,72,77,0,57,0,0,40,36,0,0,0,0,35
72,69,0,72,77,0,57,0,0,40,36,0,0,0,0,29
72,0,0,72,77,0,57,0,0,40,36,0,0,0,0,8
